"額定功率(W)","相關認證(註1)","備註","型號","廠牌","登錄有效期限","登錄編號","輸入電壓(V)","輸出電壓(V)"
"5000","PL104-PV0143","","RPI-H5","DELTA","2018-08-31","PL104-PV0143","200-1000","單相220"
"15000","PL103-PV0116","","RPI-M15","DELTA","2018-08-31","PL103-PV0116","200-1000","三相380"
"20000","PL103-PV0117","","RPI-M20","DELTA","2018-08-31","PL103-PV0117","200-1000","三相380"
"30000","PL103-PV0118","","RPI-M30","DELTA","2018-08-31","PL103-PV0118","200-1000","三相380"
"3000","PL104-PV0142","","RPI-H3","DELTA","2018-08-31","PL104-PV0142","125-550","單相220"
"15000","PL104-PV0145","","RPI-M15A","DELTA","2018-08-31","PL104-PV0145","200-1000","三相380"
"20000","PL104-PV0144","","RPI-M20A","DELTA","2018-08-31","PL104-PV0144","200-1000","三相380"
"3000","PL103-PV0040","","GSI-3000","Mean Well","2018-11-27","PL103-PV0040","125-500","單相220"
"3000","PL103-PV0041","","GSI-3000A","Mean Well","2018-11-27","PL103-PV0041","125-500","單相220"
"4600","PL103-PV0042","","GSI-4600","Mean Well","2018-11-27","PL103-PV0042","125-500","單相220"
"4600","PL103-PV0043","","GSI-4600A","Mean Well","2018-11-27","PL103-PV0043","125-500","單相220"
"4000","PL103-PV0093","","SLK-4000","POWERCOM","2018-05-09","PL103-PV0093","100-500","單相230"
"3000","PL103-PV0094","","SLK-3000","POWERCOM","2018-05-09","PL103-PV0094","100-500","單相230"
"2000","PL103-PV0095","","SLK-2000","POWERCOM","2018-05-09","PL103-PV0095","100-500","單相230"
"1500","PL103-PV0096","","SLK-1500","POWERCOM","2018-05-09","PL103-PV0096","100-500","單相230"
"220","PL103-PV0149","","MIG240UL00","Darfon","2018-09-24","PL103-PV0149","24-60","單相220"
"250","PL103-PV0150","","MIG300ULXX","Darfon","2018-09-24","PL103-PV0150","24-60","單相220"
"4600","PL104-PV0022","","GW4600-SS","GOODWE","2018-02-28","PL104-PV0022","125-580","單相230"
"4000","PL104-PV0023","","GW4000-SS","GOODWE","2018-02-28","PL104-PV0023","125-580","單相230"
"25000","PL104-PV0024","","GW25K-DT","GOODWE","2018-02-28","PL104-PV0024","250-1000","三相400"
"20000","PL104-PV0025","","GW20K-DT","GOODWE","2018-02-28","PL104-PV0025","250-1000","三相400"
"15000","PL104-PV0026","","GW15K-DT","GOODWE","2018-02-28","PL104-PV0026","250-1000","三相400"
"50000","PL104-PV0027","","RPI M50A_120","DELTA","2018-08-31","PL104-PV0027","200-1000","三相380"
"10000","PL104-PV0028","","RPI M10A","DELTA","2018-08-31","PL104-PV0028","200-1000","三相380"
"30000","PL104-PV0029","","30000TL3","Growatt","2018-12-28","PL104-PV0029","180-1000","三相230/400"
"33000","PL104-PV0030","","33000TL3","Growatt","2018-12-28","PL104-PV0030","180-1000","三相230/400"
"40000","PL104-PV0031","","40000TL3","Growatt","2018-12-28","PL104-PV0031","180-1000","三相277/480"
"17000","PL104-PV0036","","Powador 20.0TL3","KACO","2018-02-14","PL104-PV0036","250-1000","三相380"
"8000","PL104-PV0041","","SE8K","Solaredge","2018-03-12","PL104-PV0041","750-750","三相220"
"9000","PL104-PV0042","","SE9K","Solaredge","2018-03-12","PL104-PV0042","750-750","三相220"
"10000","PL104-PV0043","","SE10K","Solaredge","2018-03-12","PL104-PV0043","750-750","三相220"
"12500","PL104-PV0044","","SE12.5K","Solaredge","2018-03-12","PL104-PV0044","750-750","三相220"
"15000","PL104-PV0045","","SE15K","Solaredge","2018-03-12","PL104-PV0045","750-750","三相220"
"16000","PL104-PV0046","","SE16K","Solaredge","2018-03-12","PL104-PV0046","750-750","三相220"
"17000","PL104-PV0047","","SE17K","Solaredge","2018-03-12","PL104-PV0047","750-750","三相220"
"2200","PL104-PV0048","","SE2200","Solaredge","2018-03-12","PL104-PV0048","350-350","單相220"
"3000","PL104-PV0049","","SE3000","Solaredge","2018-03-12","PL104-PV0049","350-350","單相220"
